,DK1-offshore,DK1-offshore,DK1-offshore,DK1-offshore,DK1-onshore,DK1-onshore,DK1-onshore,DK1-onshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-onshore,DK2-onshore,DK2-onshore,DK2-onshore
2024-09-18 07:00:00,-43.26230339323982,11.157826221666085,53.83269094033329,81.4925349821333,123.77168949140673,201.33040884045658,267.78195861166625,377.0545518184492,12.712101876644113,184.93549186010807,237.33722376018068,294.80606597482483,28.66359103441698,59.4212124069511,74.04289488816505,90.83134299640369
2024-09-18 08:00:00,-40.92077706588117,14.35740631522117,56.92256046646713,86.06471391805235,108.92733007332174,167.7999560169112,220.33730138946055,303.68051784481946,14.210555251888366,207.7614702612409,257.2406071593218,312.29979618228435,18.190633873708634,45.60831257937048,59.019839183977865,72.53665484753083
2024-09-18 09:00:00,-39.53643211596102,12.809982966258303,52.381480758534906,77.6688325942174,88.36386354472461,126.8706193772066,158.4688812590258,195.89973210220927,14.9991256691618,221.97407480404263,269.4537837896519,325.45481056117706,5.585089503364372,24.94640059279925,36.75827598268313,48.429145121190004
2024-09-18 10:00:00,-39.01713586834467,8.6676172558615,41.3320492507807,60.29522289981787,35.43838693524242,76.22688075396479,105.15037263580945,124.79484596116818,14.581559327272089,224.70799541212023,273.384872109953,335.1532776491599,-1.0077215109188273,14.666548674045714,25.096358337322386,39.79992018309406
2024-09-18 11:00:00,-42.36029631666946,5.7524466901146525,36.59075707009424,53.32573657523653,32.82931612967775,33.2956852230036,42.38871947332302,84.3921853549125,13.923558861011259,221.2421786495363,272.98616736567897,338.0977008952632,8.150868866228393,18.584126852037684,27.4485651578359,39.76788156606028
2024-09-18 12:00:00,-42.97428366922719,7.221470705606976,37.35840369749263,55.112815183425596,35.770025779842456,19.79694005602039,24.269229033877593,71.4356159275701,14.900653422516257,220.59134293957902,272.1334078861437,336.66760208817686,8.282875817256013,17.25123557210236,25.31777427542721,33.05434624629163
2024-09-18 13:00:00,-40.566225673860316,8.764483675615054,38.957407985809425,57.26706141093564,30.547868871350772,17.827474267861476,23.733746316112047,72.47282602397308,16.17728674801907,225.96256173617303,278.2120970286162,343.79880142638467,8.58477212254229,17.416764821740685,25.320652543418078,33.09486331642461
2024-09-18 14:00:00,-38.19878146956631,12.904860167593029,45.69028844455539,66.3389613493971,22.673802607982793,20.381579565013567,27.830042143089827,80.51947519219004,16.94633815237745,242.85963142780076,300.63089671080184,371.9592952287594,10.781520619836101,20.2818078373881,28.794705382285088,39.011092776708324
2024-09-18 15:00:00,-36.99878824419977,18.75871858469361,57.26442868912659,83.9343374720695,21.30271106001811,22.87755053876799,33.74529164560079,96.00697488937087,17.170589522839578,270.52187694112934,338.97608419585345,420.2776005929693,7.87930887877144,23.097458320107364,31.193010493475526,52.274884032177965
2024-09-18 16:00:00,-37.423738352126435,30.98182502669232,77.55411762921881,114.62116029943127,14.597298834527635,57.78971064129428,90.78471236160152,138.39014971607855,16.541596336921998,301.84551758281214,382.1978088176363,477.6916936752368,2.4367381096291183,19.731898937012943,29.990066725176348,47.498395366837826
