,DK1-offshore,DK1-onshore,DK2-offshore,DK2-onshore
2024-08-02 21:00:00,19.685608454076895,110.23333291666667,92.29833416666666,40.689999916666665
2024-08-02 22:00:00,55.49812829472384,100.30166641666666,81.62499883333334,43.839999750000004
2024-08-02 23:00:00,65.54109223838897,80.40916633333333,42.0091665,49.820833916666665
2024-08-03 00:00:00,60.817048175607,59.89166741666667,24.5416665,50.61250016666667
2024-08-03 01:00:00,59.36877251237411,69.59416675,49.19333375,44.45499950000001
2024-08-03 02:00:00,54.73310079865273,69.59416833333333,51.82250091666666,35.2075005
2024-08-03 03:00:00,58.72839107813916,65.04583416666667,42.06500008333333,27.346666583333334
2024-08-03 04:00:00,69.2165225432487,91.80166758333333,16.4558335,21.115832916666665
2024-08-03 05:00:00,107.49163964539133,85.77333208333334,11.036666666666667,14.830833333333333
2024-08-03 06:00:00,131.26486908580097,90.40500133333335,10.883333333333333,12.1775
2024-08-03 07:00:00,150.54553898931437,74.97916675,7.9175,12.1625
2024-08-03 08:00:00,131.3248833164964,110.73750058333333,13.410833333333334,16.27583316666667
2024-08-03 09:00:00,159.73576193480346,127.01666583333333,2.6016666666666666,20.181666916666668
2024-08-03 10:00:00,157.06608089726114,163.82000225,4.644166666666667,24.196667
2024-08-03 11:00:00,185.68602385547123,209.98083225000002,11.915,26.818333083333332
2024-08-03 12:00:00,184.74556704691767,244.2075005,14.242499916666667,27.515833333333333
2024-08-03 13:00:00,198.6591749444305,262.81999975,22.48000025,25.897499999999997
2024-08-03 14:00:00,210.486760604693,250.67333233333332,46.6316665,25.585833416666663
2024-08-03 15:00:00,201.1408980911799,226.75416566666664,67.29416625,23.3491665
2024-08-03 16:00:00,169.2227616670902,206.01916491666668,65.71249991666666,21.780833083333334
2024-08-03 17:00:00,166.05581236139778,175.49583558333333,102.11416758333333,22.692499916666666
2024-08-03 18:00:00,173.0426250083174,148.31583283333333,102.07416658333334,19.025833083333335
2024-08-03 19:00:00,184.52265247775406,143.19249991666666,57.68166733333334,24.754999916666666
2024-08-03 20:00:00,148.8908405074112,135.56583416666666,17.49166675,31.289166583333337
2024-08-03 21:00:00,145.9863733227324,136.28499858333333,3.535833333333333,33.800833000000004
2024-08-03 22:00:00,165.03621701971053,141.38666533333333,7.565,30.30000025
2024-08-03 23:00:00,78.81431988877847,131.56999966666666,44.46833241666667,27.386666666666667
2024-08-04 00:00:00,61.374331531810945,115.59833341666666,124.38083283333333,30.365833166666665
2024-08-04 01:00:00,99.05523252016647,104.73666641666667,77.34666641666666,34.79166633333333
2024-08-04 02:00:00,212.00098876075697,110.97333391666666,53.962499666666666,22.175000083333334
2024-08-04 03:00:00,242.21495758487367,93.290001,75.13083375000001,18.144999833333333
2024-08-04 04:00:00,158.79596614957686,118.87500074999998,47.986666250000006,21.2341665
2024-08-04 05:00:00,158.2808908112454,106.045833,24.012499833333333,16.198333083333335
2024-08-04 06:00:00,258.00222973851123,110.25750025,15.828333166666667,24.816666666666666
2024-08-04 07:00:00,432.22075081176814,133.10000091666666,31.914166750000003,51.773333666666666
2024-08-04 08:00:00,539.8937548001959,259.56166716666667,83.54750058333333,44.65583325
2024-08-04 09:00:00,571.774954839417,523.9308295,127.7583325,30.2225
2024-08-04 10:00:00,587.5318861344617,734.9000040833333,98.37083308333332,33.113333583333336
2024-08-04 11:00:00,298.3013663692748,996.5058340833333,69.15583358333333,57.34166691666667
2024-08-04 12:00:00,278.90594089043657,1130.27085375,132.65333491666667,83.31999983333334
2024-08-04 13:00:00,264.46868670861033,1189.9899901666668,89.58250041666668,94.63583516666667
2024-08-04 14:00:00,513.0030409513224,1518.15499875,60.104166666666664,146.00833383333335
2024-08-04 15:00:00,475.8668836611519,1771.3125203333332,307.10000099999996,186.80500025
2024-08-04 16:00:00,477.4200205880609,1812.4558105833332,336.3133315833333,216.57416808333335
2024-08-04 17:00:00,571.8441983354446,1648.13916025,272.0633354166667,162.76000025
2024-08-04 18:00:00,632.5682596612263,1374.04082225,204.93166491666668,110.59583208333333
2024-08-04 19:00:00,670.4602027174635,1002.6449940833332,375.18749983333333,170.82916658333332
2024-08-04 20:00:00,612.8819998785674,840.7975056666668,640.6191710833333,227.03583408333336
2024-08-04 21:00:00,627.1299761674167,756.3766580833334,666.14917,211.97833508333335
2024-08-04 22:00:00,547.1905310656235,780.6058402499999,633.0958353333334,182.48000075000002
2024-08-04 23:00:00,512.9199404331175,766.2708282499999,630.9008330833334,165.80333441666667
